"College","Branch","Quota","Category","Gender","O.R.","C.R."
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","19104","21195"
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","6090","7567"
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","9435","9435"
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","2945","3121"
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only (including Supernumerary)","3321","3321"
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Smart Manufacturing (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","39792","50826"
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Smart Manufacturing (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","49977","53191"
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Smart Manufacturing (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","7845","8155"
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Smart Manufacturing (4 Years, Bachelor of Technology)","AI","EWS","Female-only (including Supernumerary)","8215","8215"
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Smart Manufacturing (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","14567","16951"
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Smart Manufacturing (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","21780","22801"
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Smart Manufacturing (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","8197","9741"
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Smart Manufacturing (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","9168","9168"
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Smart Manufacturing (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","3446","4388"
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Smart Manufacturing (4 Years, Bachelor of Technology)","AI","ST","Female-only (including Supernumerary)","4352","4352"
"Indian Institute of Information Technology  Manipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","37665","45842"
"Indian Institute of Information Technology  Manipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","7108","7445"
"Indian Institute of Information Technology  Manipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","11830","15479"
"Indian Institute of Information Technology  Manipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","8767","10153"
"Indian Institute of Information Technology  Manipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","4397","4734"
"Indian Institute of Information Technology  Manipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","45552","49171"
"Indian Institute of Information Technology  Manipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","7549","7822"
"Indian Institute of Information Technology  Manipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","15598","16209"
"Indian Institute of Information Technology  Manipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","10406","10682"
"Indian Institute of Information Technology  Manipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","3586","4770"
"Indian Institute of Information Technology Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","14915","22826"
"Indian Institute of Information Technology Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","22813","24263"
"Indian Institute of Information Technology Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","466","466"
"Indian Institute of Information Technology Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","3300","3839"
"Indian Institute of Information Technology Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","6986","9181"
"Indian Institute of Information Technology Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","8345","8345"
"Indian Institute of Information Technology Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","Gender-Neutral","737","737"
"Indian Institute of Information Technology Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","4557","5909"
"Indian Institute of Information Technology Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","6073","6073"
"Indian Institute of Information Technology Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","1173","2033"
"Indian Institute of Information Technology Tiruchirappalli","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","14155","34131"
"Indian Institute of Information Technology Tiruchirappalli","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","31492","33573"
"Indian Institute of Information Technology Tiruchirappalli","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","5187","5300"
"Indian Institute of Information Technology Tiruchirappalli","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","8796","12756"
"Indian Institute of Information Technology Tiruchirappalli","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","11929","11929"
"Indian Institute of Information Technology Tiruchirappalli","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","6711","7906"
"Indian Institute of Information Technology Tiruchirappalli","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","7241","7241"
"Indian Institute of Information Technology Tiruchirappalli","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","2784","3470"
"Indian Institute of Information Technology Tiruchirappalli","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only (including Supernumerary)","3527","3527"
"Indian Institute of Information Technology Lucknow","Computer Science (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","5703","9237"
"Indian Institute of Information Technology Lucknow","Computer Science (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","13743","18009"
"Indian Institute of Information Technology Lucknow","Computer Science (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","600","600"
"Indian Institute of Information Technology Lucknow","Computer Science (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","1357","1408"
"Indian Institute of Information Technology Lucknow","Computer Science (4 Years, Bachelor of Technology)","AI","EWS (PwD)","Female-only (including Supernumerary)","135","135"
"Indian Institute of Information Technology Lucknow","Computer Science (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","2432","3879"
"Indian Institute of Information Technology Lucknow","Computer Science (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","7844","8333"
"Indian Institute of Information Technology Lucknow","Computer Science (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","Gender-Neutral","363","363"
"Indian Institute of Information Technology Lucknow","Computer Science (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","407","2791"
"Indian Institute of Information Technology Lucknow","Computer Science (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","2730","4232"
"Indian Institute of Information Technology Lucknow","Computer Science (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","907","1446"
"Indian Institute of Information Technology Lucknow","Computer Science (4 Years, Bachelor of Technology)","AI","ST","Female-only (including Supernumerary)","4751","4751"
"Indian Institute of Information Technology Lucknow","Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","6437","8869"
"Indian Institute of Information Technology Lucknow","Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","12301","15318"
"Indian Institute of Information Technology Lucknow","Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","315","315"
"Indian Institute of Information Technology Lucknow","Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","1168","1346"
"Indian Institute of Information Technology Lucknow","Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)","AI","EWS","Female-only (including Supernumerary)","2838","2838"
"Indian Institute of Information Technology Lucknow","Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","2513","3715"
"Indian Institute of Information Technology Lucknow","Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","6167","7467"
"Indian Institute of Information Technology Lucknow","Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","Gender-Neutral","228","228"
"Indian Institute of Information Technology Lucknow","Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","1688","3199"
"Indian Institute of Information Technology Lucknow","Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","4219","4595"
"Indian Institute of Information Technology Lucknow","Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","1572","2068"
"Indian Institute of Information Technology Lucknow","Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)","AI","ST","Female-only (including Supernumerary)","2800","2800"
"Indian Institute of Information Technology Lucknow","Computer Science and Business (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","9459","10753"
"Indian Institute of Information Technology Lucknow","Computer Science and Business (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","17899","19932"
"Indian Institute of Information Technology Lucknow","Computer Science and Business (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","285","285"
"Indian Institute of Information Technology Lucknow","Computer Science and Business (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","1508","1737"
"Indian Institute of Information Technology Lucknow","Computer Science and Business (4 Years, Bachelor of Technology)","AI","EWS","Female-only (including Supernumerary)","3530","3530"
"Indian Institute of Information Technology Lucknow","Computer Science and Business (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","3648","4721"
"Indian Institute of Information Technology Lucknow","Computer Science and Business (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","7258","8483"
"Indian Institute of Information Technology Lucknow","Computer Science and Business (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","Gender-Neutral","285","285"
"Indian Institute of Information Technology Lucknow","Computer Science and Business (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","3437","3973"
"Indian Institute of Information Technology Lucknow","Computer Science and Business (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","5049","6068"
"Indian Institute of Information Technology Lucknow","Computer Science and Business (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","1310","2272"
"Indian Institute of Information Technology Lucknow","Computer Science and Business (4 Years, Bachelor of Technology)","AI","ST","Female-only (including Supernumerary)","3658","3658"
"Indian Institute of Information Technology Lucknow","Information Technology (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","9293","11031"
"Indian Institute of Information Technology Lucknow","Information Technology (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","18539","20225"
"Indian Institute of Information Technology Lucknow","Information Technology (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","639","639"
"Indian Institute of Information Technology Lucknow","Information Technology (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Female-only (including Supernumerary)","1612","1612"
"Indian Institute of Information Technology Lucknow","Information Technology (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","1438","1545"
"Indian Institute of Information Technology Lucknow","Information Technology (4 Years, Bachelor of Technology)","AI","EWS","Female-only (including Supernumerary)","3117","3117"
"Indian Institute of Information Technology Lucknow","Information Technology (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","3902","4638"
"Indian Institute of Information Technology Lucknow","Information Technology (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","8957","9676"
"Indian Institute of Information Technology Lucknow","Information Technology (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","Gender-Neutral","396","396"
"Indian Institute of Information Technology Lucknow","Information Technology (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","3462","3796"
"Indian Institute of Information Technology Lucknow","Information Technology (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","6265","6960"
"Indian Institute of Information Technology Lucknow","Information Technology (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","2160","2524"
"Indian Institute of Information Technology Lucknow","Information Technology (4 Years, Bachelor of Technology)","AI","ST","Female-only (including Supernumerary)","4370","4370"
"Indian Institute of Information Technology(IIIT) Dharwad ","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","18532","31578"
"Indian Institute of Information Technology(IIIT) Dharwad ","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","472","1080"
"Indian Institute of Information Technology(IIIT) Dharwad ","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","4805","5928"
"Indian Institute of Information Technology(IIIT) Dharwad ","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","8923","12678"
"Indian Institute of Information Technology(IIIT) Dharwad ","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","4263","8871"
"Indian Institute of Information Technology(IIIT) Dharwad ","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","926","3945"
"Indian Institute of Information Technology(IIIT) Dharwad ","Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","21362","33907"
"Indian Institute of Information Technology(IIIT) Dharwad ","Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","1202","1331"
"Indian Institute of Information Technology(IIIT) Dharwad ","Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","5128","6232"
"Indian Institute of Information Technology(IIIT) Dharwad ","Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","8425","13728"
"Indian Institute of Information Technology(IIIT) Dharwad ","Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","6786","9478"
"Indian Institute of Information Technology(IIIT) Dharwad ","Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","2889","4200"
"Indian Institute of Information Technology(IIIT) Dharwad ","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","31988","39254"
"Indian Institute of Information Technology(IIIT) Dharwad ","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","1677","1677"
"Indian Institute of Information Technology(IIIT) Dharwad ","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","6094","6636"
"Indian Institute of Information Technology(IIIT) Dharwad ","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","12808","14637"
"Indian Institute of Information Technology(IIIT) Dharwad ","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","7867","9797"
"Indian Institute of Information Technology(IIIT) Dharwad ","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","3695","4296"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","22688","35867"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","972","972"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","5456","6116"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","9355","13049"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","Gender-Neutral","695","695"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","5113","6556"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","2300","2878"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","20417","31549"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","678","684"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","4901","5681"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","7923","11822"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","Gender-Neutral","486","486"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","4352","5964"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","1987","2360"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST (PwD)","Gender-Neutral","26","26"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Electronics and Communication Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","36573","42914"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Electronics and Communication Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","1299","1299"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Electronics and Communication Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","6505","6827"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Electronics and Communication Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","13414","14906"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Electronics and Communication Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","6129","7676"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Electronics and Communication Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","3023","3069"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Mechanical Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","43082","51769"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Mechanical Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","1733","1733"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Mechanical Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","7863","8131"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Mechanical Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","13861","16469"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Mechanical Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","8664","10061"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Mechanical Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","2882","3364"
"Indian Institute of Information Technology(IIIT) Kottayam","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","21442","34158"
"Indian Institute of Information Technology(IIIT) Kottayam","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","16262","32140"
"Indian Institute of Information Technology(IIIT) Kottayam","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","585","1464"
"Indian Institute of Information Technology(IIIT) Kottayam","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","5225","5979"
"Indian Institute of Information Technology(IIIT) Kottayam","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","9716","13207"
"Indian Institute of Information Technology(IIIT) Kottayam","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","9907","13500"
"Indian Institute of Information Technology(IIIT) Kottayam","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","4088","9144"
"Indian Institute of Information Technology(IIIT) Kottayam","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","6544","9567"
"Indian Institute of Information Technology(IIIT) Kottayam","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","2284","4252"
"Indian Institute of Information Technology(IIIT) Kottayam","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only (including Supernumerary)","3908","3908"
"Indian Institute of Information Technology(IIIT) Kottayam","Computer Science and Engineering with specialization in Cyber Security
 (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","31231","35997"
"Indian Institute of Information Technology(IIIT) Kottayam","Computer Science and Engineering with specialization in Cyber Security
 (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","29976","34227"
"Indian Institute of Information Technology(IIIT) Kottayam","Computer Science and Engineering with specialization in Cyber Security
 (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","5413","6061"
"Indian Institute of Information Technology(IIIT) Kottayam","Computer Science and Engineering with specialization in Cyber Security
 (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","10662","13576"
"Indian Institute of Information Technology(IIIT) Kottayam","Computer Science and Engineering with specialization in Cyber Security
 (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","14064","14064"
"Indian Institute of Information Technology(IIIT) Kottayam","Computer Science and Engineering with specialization in Cyber Security
 (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","4420","8657"
"Indian Institute of Information Technology(IIIT) Kottayam","Computer Science and Engineering with specialization in Cyber Security
 (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","9595","9595"
"Indian Institute of Information Technology(IIIT) Kottayam","Computer Science and Engineering with specialization in Cyber Security
 (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","3689","4333"
"Indian Institute of Information Technology(IIIT) Kottayam","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","13824","40001"
"Indian Institute of Information Technology(IIIT) Kottayam","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","31887","32862"
"Indian Institute of Information Technology(IIIT) Kottayam","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","6224","6470"
"Indian Institute of Information Technology(IIIT) Kottayam","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","13362","14797"
"Indian Institute of Information Technology(IIIT) Kottayam","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","14442","14442"
"Indian Institute of Information Technology(IIIT) Kottayam","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","9267","9814"
"Indian Institute of Information Technology(IIIT) Kottayam","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","10119","10119"
"Indian Institute of Information Technology(IIIT) Kottayam","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","4437","4675"
"Indian Institute of Information Technology (IIIT) Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","27118","35619"
"Indian Institute of Information Technology (IIIT) Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","928","1405"
"Indian Institute of Information Technology (IIIT) Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","5350","6026"
"Indian Institute of Information Technology (IIIT) Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","9336","13354"
"Indian Institute of Information Technology (IIIT) Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","6939","9376"
"Indian Institute of Information Technology (IIIT) Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","3083","3927"
"Indian Institute of Information Technology (IIIT) Ranchi","Computer Science and Engineering (with Specialization of Data Science and Artificial Intelligence)
 (4 Years, B. Tech / B. Tech (Hons.))","AI","OPEN","Gender-Neutral","21788","33806"
